,Empresa,nome,count_x,count_y,proporcao_nomes_por_qtde_socios
697,Advanced Vista Office Assessoria em Desenvolvimento de Negocios Ltda.,Alegretti,1,3,33.33333333333333
707,Advantech Brasil Ltda.,Advantech,1,1,100.0
759,Advisia Consultoria de Gestao Empresarial S.S.,Rodrigues,3,20,15.0
773,Advocacia Borges,Borges,3,4,75.0
780,Aeon Facility Management Ltda.,Lucas,1,1,100.0
783,Aercap do Brasil Servicos de Administracao e Marketing Ltda.,Aviation,2,2,100.0
789,Aeroporto Estacionamento Ltda.,Andrade,1,2,50.0
794,Aeroporto Pizzas Ltda.,Alimentos,1,2,50.0
801,Aesseal Brasil Ltda.,Camocardi,1,1,100.0
806,Afam Construcoes Ltda.,Abrao,1,1,100.0
809,Afaplan - Planejamento e Gestao de Projetos Ltda.,Adao,1,6,16.666666666666664
835,Afas Adviser Consultores Associados Ltda.,Farias,2,9,22.22222222222222
856,Afeet Franquias Ltda.,Adriano,1,3,33.33333333333333
868,Affair System Tecnologia Ltda.,Antonio,2,4,50.0
879,Affix Administracao e Servicos Ltda.,Affix,1,2,50.0
885,Aflalo & Gasperini Arquitetos S/S,Aflalo,2,10,20.0
921,Afonso Carlos Pagnoncelli Mozzaquatro Ltda.,Afonso,1,1,100.0
926,Agabe Tecnologia Industria e Comercio Ltda.,Bianchini,3,3,100.0
931,Agassete Comercio e Industria Ltda.,(43.17%),1,1,100.0
937,Agcan Servicos Gerais Ltda.,Agnaldo,1,1,100.0
940,Agdata Latam Informacoes em Tecnologia Ltda.,Agdata,1,3,33.33333333333333
947,Agem - Administradora de Bens Proprios Ltda.,Anna,1,1,100.0
952,Agencia Brasileira de Meteorologia Ltda.,Climatempo,2,3,66.66666666666666
955,Agencia Mb Brasil Ltda.,Juliana,1,1,100.0
958,Agencia Mood de Comunicacao Integrada Ltda.,Comunicacao,1,2,50.0
964,Agencia Social Tailors Ltda.,Christina,1,2,50.0
970,Agencia Um Viagens Turismo e Eventos Ltda.,Bias,1,2,50.0
976,Agencia de Turismo Sakura Ltda.,Chaves,1,2,50.0
983,Agha Textil Comercio de Malhas Ltda.,Cristina,1,1,100.0
986,Agilmed Remocoes e Emergencias Medicas Ltda.,Cirineu,1,1,100.0
989,Agis Mineracao Ltda.,Agrocap,1,2,50.0
993,Agkl Produtos Naturais Ltda.,Luis,1,1,100.0
997,Agnaldo Rios Santiago,Agnaldo,1,1,100.0
1004,Agnelo Pacheco Criacao e Propaganda Ltda.,Pacheco,2,2,100.0
1006,Agraplast Locacao de Maquinas e Equipamentos Ltda.,Agrailson,1,1,100.0
1009,Agricol Diesel Ltda.,Claudio,1,2,50.0
1014,Agrifirma Agro Ltda.,Andre,1,1,100.0
1018,Agro Comercial Campo Vitoria Ltda.,Benaglia,2,4,50.0
1027,Agro Comercial Porto Ltda.,Acp,1,1,100.0
1029,Agro Pecuaria Jogil Ltda.,Antunes,1,1,100.0
1033,Agrofresh Brasil Ltda.,Agrofresh,1,1,100.0
1036,Agropecuaria Agua Preta S.A.,Dourada,2,2,100.0
1039,Agropecuaria Rio Aratau Ltda.,Alya,1,2,50.0
1045,Agropecuaria Santa Mariana Ltda.,Burani,3,3,100.0
1051,Agropecuaria Transmontana S/A.,Cassia,1,1,100.0
1063,Agropecuaria Vila dos Pinheiros Ltda.,Pinheiro,5,5,100.0
1064,Agrotexas Ambiental Ltda.,Ana,1,2,50.0
1071,Agrotexas Paisagismo Ltda.,Anderson,1,1,100.0
1073,Agrotin Agropecuaria e Participacoes Ltda.,Administracao,1,2,50.0
1077,Agrotools Gestao e Monitoramento Geo-Espacial de Riscos S.A.,Ads,1,1,100.0
1081,Ags Importadora de Produtos Industriais Ltda.,Gomes,2,2,100.0
1086,Agservice Engenharia Ltda.,Agpar,1,2,50.0
1091,"Agtl Armazens Gerais, Transportes e Logistica Ltda.",Fabio,1,1,100.0
1102,Aguas Petropolis Paulista Ltda.,Lopes,3,5,60.0
1107,Aguia Certus Spm Distribuicao Ltda.,Administracao,1,2,50.0
1112,Aguia Servicos de Limpeza Ltda.,Caroline,1,1,100.0
1116,Aguiar da Beira Projeto Residencial Ltda.,Construcoes,1,1,100.0
1119,Ahead Servicos de Teleatendimento e Infraestrutura de Contact Center Ltda.,Ahead,1,2,50.0
1128,Air Jet Taxi Aereo Ltda.,Fagundes,1,2,50.0
1132,Airbnb Servicos Digitais Ltda.,Airbnb,2,3,66.66666666666666
1136,Airbus Brasil Negocios Aeroespaciais Ltda.,Airbus,5,5,100.0
1143,Aj Mobilidade Corporativa Viagens e Eventos Ltda.,Aj,1,1,100.0
1146,Aja Telesservicos Ltda.,Augusto,2,2,100.0
1150,Ajs General Servicos,Antonio,1,1,100.0
1154,Akna Tecnologia da Informacao Ltda.,Comercio,1,1,100.0
1157,Akqa Brasil Comunicacao Ltda.,Blah,1,1,100.0
1158,Akta Motors Distribuidora de Veiculos Ltda.,Alexandre,1,2,50.0
1165,Alacer Industria Eletronica Ltda.,Alkimim,1,3,33.33333333333333
1176,Alarcenter Sistemas Integrados Ltda.,Costa,1,1,100.0
1188,Albieri e Associados Consultoria Empresarial Ltda.,Eduardo,2,9,22.22222222222222
1204,"Albras, Alimentos Brasileiros Ltda.",Industrias,1,1,100.0
1210,Albus Dente Servicos Odontologicos e Medicos Ltda.,Bianchini,2,2,100.0
1215,Alca Alimentacao Ltda.,Carlos,1,2,50.0
1219,Alcausa It Consultoria Ltda.,Alcausa,1,1,100.0
1223,Alcis Ltda.,Antonio,1,3,33.33333333333333
1233,Aldan Assessoria e Participacoes Ltda.,Abreu,3,4,75.0
1243,Alecrim Transportes e Logistica Ltda.,Anjos,1,2,50.0
1251,Alerta Servicos Gerais Ltda.,Campanha,2,2,100.0
1257,Alfa Cargo Transportes Internacionais Ltda.,Fukunaga,1,3,33.33333333333333
1265,Alfa Elevadores Ltda.,Araujo,1,3,33.33333333333333
1274,Alfa Formacao Integral Infantil Ltda.,Investimentos,1,1,100.0
1276,Alfacon - Construcoes Ltda.,Barros,1,1,100.0
1279,Alfama Alimentos Ltda.,Alfapar,1,1,100.0
1282,Alfatech Construtora Ltda.,Jose,2,2,100.0
1285,Alg Global Infrastructure Advisors do Brasil Ltda.,Advisors,1,3,33.33333333333333
1292,Alimentum Esm Restaurante Ltda.,(CNPJ:09000493/0002-15),1,1,100.0
1296,Aline Vieira dos Santos Industria de Alimentos Ltda.,Aline,1,1,100.0
1300,Aljan Empreendimentos Imobiliarios e Construcoes Ltda.,Antonio,1,1,100.0
1303,Alkaserv Servicos Ltda.,Alexandre,1,1,100.0
1305,All - Easy Consultoria em Informatica Ltda.,Castro,1,1,100.0
1308,"All Costa Projetos, Industria e Servicos em Vidros e Caixilhos Ltda.",Almeida,1,1,100.0
1314,All Frig Comercio e Importacao de Produtos Alimenticios Ltda.,Piccolo,2,2,100.0
1315,All Prime Servicos Graficos Ltda.,Antonio,1,1,100.0
1318,Allcare Beneficios Corretora de Seguros Sao Paulo Ltda.,Dg,1,1,100.0
1320,Allcontrol Engenharia Ltda. Filial,Rodrigues,1,1,100.0
1323,Alleanza Service Terceirizacao de Mao de Obra Ltda.,Figueredo,1,1,100.0
1326,"Allent Comercio, Importacao e Distribuicao de Materiais Medicos Ltda.",Bianchi,2,2,100.0
1332,Alliance Services Plus do Brasil Servicos de Informatica Ltda.,Alliance,1,2,50.0
1338,Alliance do Brasil Maquinas de Lavanderia Ltda.,Alliance,2,2,100.0
1347,Alliexlog Transporte Ltda.,Silveira,2,2,100.0
1349,Allport Servicos Terceirizados Ltda.,Lima,1,2,50.0
1356,Allservice Servicos e Equipamentos Eireli,Arturo,1,1,100.0
1358,Almar Morumbi Prestacao de Servicos de Cabeleireiros Ltda.,Camargo,1,1,100.0
1363,Almawave do Brasil Informatica Ltda.,Almaviva,1,2,50.0
1368,Almeida Cardoso Comercio e Varejo de Moveis e Servicos Ltda.,Cardoso,1,1,100.0
1371,Almeida Santos Servicos de Cobranca Ltda.,Almeida,1,1,100.0
1377,Almeida Sapata Engenharia e Construcoes Ltda.,Almeida,1,2,50.0
