Empresa;Principais Executivos
Frec Participacoes S.A.;Eduardo de Souza Ramos, Renata Lane de Souza Ramos
Orquidea Perola Paes e Doces Ltda.;Eduardo dos Santos Dias, Jose Maria de Freitas Reis, Luis de Freitas Reis, Mariana Esmeralda Goncalves Bezerra
Ef Engenharia e Solucoes Ltda.;Eduardo dos Santos Figueiredo
Construtora Cronacon Ltda.;Eduardo dos Santos, Gilberto Vieira Esguedelhado
Sempre Engenharia e Representacoes Ltda.;Eduardo Fanganiello Senra, Neila Delgado Fanganiello Senra, Patricia Goncalves
Control Service do Brasil Ltda.;Eduardo Frugiuele dos Santos Antao
Ttw Brasil Operacoes Turisticas Ltda.;Eduardo Gaz
Sensor Comercio e Construcoes de Redes Para Telecomunicacoes e Energia Ltda.;Eduardo Gimenes Ribeiro Santos
Blumerc Construcao, Incorporacao e Empreendimentos Ltda.;Eduardo Jorge Novaes Camargo Filho, Rafael Zorzenon Flueti
Vernon Calcados Ltda.;Eduardo Kachvartanian, Ricardo Kachvartanian
Costes Calcados - Comercial Ltda.;Eduardo Kachvartanian, Ricardo Kachvartanian
Felap Maquinas e Equipamentos Ltda.;Eduardo Kazandjian (25.00%)
Comercio de Aparas de Papel Adriana Ltda.;Eduardo Kusmini Franco, Kf Participacoes Ltda.
Js Logistica de Cargas Ltda.;Eduardo Lopes
Dw - Sustentacao Consultoria e Servicos de Informatica Ltda.;Eduardo Lopes, Jose Luiz Valenca dos Santos, Vera Cristina Pinela
Kron Instrumentos Eletricos Ltda.;Eduardo Marchetti Bedicks, Fernando Marchetti Bedicks, Roberto Marchetti Bedicks, Sylvia Helena Bedicks Buff
Santiago & Cintra Importacao e Exportacao Ltda.;Eduardo Martins de Oliveira, Gustavo Galante Streiff, Luiz Fernando Antonio Dalbelo, Vinicius Canholi Maldonado
Plastoy Apoio Empresarial Ltda.;Eduardo Mason, Eliana Mason, Fabiola Mason, Graziela Mason
Mendes Holler Engenharia Comercio e Consultoria Ltda.;Eduardo Mendes, Elaine Cristina Parizotto, Jose Ricardo Lossio Rezende, Sergio Ricardo Lopes Colhado, Solutions Engenharia Comercio e Consultoria S.A., Thais Domingues Mendes
Etig Multifuncional Ltda.;Eduardo Moraes Nemec, Sergio Denardo Nemec
Limpcenter Prestadora de Servicos Ltda.;Eduardo Ortiz
Hospital de Olhos Paulista Ltda.;Eduardo Parente Barbosa, Edvaldo Soter de Figueiroa Junior, Jefferson Cornelio de Souza Leite, Marcos Tonelli Gomes, William Baptista Fidelix
Mmy Investimentos e Participacoes Ltda.;Eduardo Paul Cunha
F.Pinheiro Comercio de Material Para Construcao Slu Ltda.;Eduardo Pinheiro Vidiz
Combustran Derivados de Petroleo Ltda.;Eduardo Pires, Flavia Pires de Bernardi, Helio Sgobi, Jose Roberto Gonzales, Mariana Pires, Marino Pedreschi, Romao Santo Puga Mirandola, Vera Lucia Pires
Agis Mineracao Ltda.;Eduardo Ribeiro Capobianco, Agrocap Participacoes Ltda.
Honix Alimentacao Ltda.;Eduardo Silvares Brandariz
Umuarama Imoveis Ltda.;Eduardo Simone Pereira, Luiza Carvalho Simone Pereira
Keeper Terceirizacao de Servicos Ltda.;Eduardo Sobral Amboni
Elesys Industria e Comercio Ltda.;Eduardo Stanzel
Casa Tognini Materiais Hidraulicos e Sanitarios Ltda.;Eduardo Tadeu Familiar Lourenco, Par 3 S.A., Wagner Tavares dos Santos
Resimapi Produtos Quimicos Ltda.;Eduardo Tadeu Piagentini, Yara Salgado Marfaragi
Jota K Interlagos Sport Modas - Eireli;Eduardo Tavares Rodrigues
Connect Infraestrutura Manutencao e Servicos Prediais Ltda.;Eduardo Tomaz, Mfs Participacoes Ltda.
Norbrasil Saneamento Ltda.;Eduardo Vieira da Silva Daotro, Ricardo Vieira da Silva Daotro
Villa Buena Industria e Comercio Ltda.;Eduardo Villela de Oliveira Marcondes, Katy Carla Zaragoza, Maria Conceicao Gama Rodrigues Marcondes, Warwick Villela de Oliveira Marcondes Filho
Basel Industria e Comercio de Joias Ltda.;Eduardo Wagner Koyama
Bycon Industria e Comercio de Eletro Eletronicos S.A.;Edvaldo Celso Pereira
Trend Importacao, Exportacao e Comercio de Equipamentos de Iluminacao Ltda.;Edvaldo Jose da Silva
Ace Transportes de Cargas Eireli;Edvandro Amaro de Lima
Mad Servicos de Apoio Administrativo e Operacional Ltda.;Edwirge Madalena Rosin Munhoz
Optitex Industria e Comercio de Estojos e Brindes Ltda.;Edy Titelbaum
Ef Educacao Especializada e Viagens ao Exterior Ltda.;Ef English First B.V., Ef English Services B.V.
Power Solutions Brasil Sistemas de Automacao e Potencia Ltda.;Efacec Marketing Internacional S.A., Efacec Power Solutions, Sgps S.A.
Pg Mundi Paulistana Logistica de Produtos de Higiene e Limpeza Ltda.;Efikanove Empreendimentos e Participacoes Ltda.
Top Service Distribuidora de Produtos de Consumo Pessoal Ltda.;Egelza Ivone Ferreira Krenke, Roberta Porta Vaz Maia Garcia
Egon Zehnder International Ltda.;Egon Zehnder Intl.S.A.
Weconnect Team Tecnologia Ltda.;E-Group Participacoes Ltda.
Trabuca Restaurante e Entretenimento Ltda.;Ehbar 1 Participacoes Ltda., Havla Participacoes Ltda., Vivarium Participacoes Ltda.
E-Htl Reservas Online de Hoteis Ltda.;E-Htl-Par Participacoes Ltda.
T.C.R.e.Engenharia Ltda.;Eiko Ishida, Turibio Cezar Alves Filho
Eisai Laboratorios Ltda.;Eisai Corporation Of North America, Eisai Inc
Ast Locadora Ltda.;Elaine Aparecida Batista, Jose Eduardo Abucham D' Amico, Ast Locadora Ltda.
Center Paes Morumbi Sul Ltda.;Elaine Aparecida do Carmo
Ekipateck - Industria, Comercio, Locacao e Manutencao de Equipamentos Ltda.;Elaine Cristina Valentino
Vipper - Seguranca Armada Eireli;Elaine de Almeida Pifai
Paratec - Para Raios e Acessorios Ltda.;Elaine Ferreira de Melo Souza, Ricardo Clarassot de Souza
Multi-Hidro Industria e Comercio de Tubos, Conexoes e Valvulas Ltda.;Elaine Gastao de Oliveira Santos, Julio Cesar Ribeiro Santos, Luis Otavio de Oliveira Santos, Renato de Oliveira Santos
Instituicao Educacional Recreio Ltda.;Elaine Reimberg
Mse Solucoes em Impressao Digital Ltda.;Elane Matias da Silva de Almeida
Industria de Parafusos Elbrus Ltda.;Elbrus Alfa Participacoes do Brasil Ltda.
Paes e Doces Camila Ltda.;Elcio Santos Ferreira, Marcos Silveira Ferreira
Melting Produtos Para Manutencao Industrial Ltda.;Elcio Tiepolo
Panificadora e Doceira Morro Alto Ltda.;Elder Almerio Tuponi
Pcon Projetos e Construcoes Ltda.;Elder Lopes de Oliveira, Luiz Carlos de Rezende Sampaio
Dsop Educacao Financeira Ltda.;Elena Loreta Rea Domingos, Reinaldo Aparecido Domingos
Sweety-Ice Ind Com de Produtos Alimenticios Ltda.;Elenilda Rodrigues de Andrade, Helena Rodrigues de Andrade Lima
Sphera Security Ltda.;Eleonora do Carmo de Paula Costa Pinero Labrana
Chs Treinamentos e Servicos Administrativos Ltda.;Eleonora Junia Francisca de Castro Andrade Kiehl, Joao Mendes de Almeida Junior, Theodora Maria Mendes de Almeida
Solucao Ceramica Comercio Ltda.;Eleonora Ramos Gomes, Paulo Zwoelfer Troncoso
Apoio Eletric Industria e Comercio de Materiais Eletricos e Fixacao Ltda.;Eletric Apoio Administracao de Outras Empresas Ltda.
Ksg Industria e Comercio em Automacao Ltda.;Eli da Silva Santos, Jeovany dos Santos
Kamel e K Madeiras e Ferragens Ltda.;Eli El Jamal
La Pergoletta Pasta Fresca Ltda.;Elia Seganti, Ricardo Seganti
Top Diesel Industria e Comercio de Auto Pecas Ltda.;Eliana Antunes Gomes, Maria Isabel Golin, Wilson Roberto Antunes de Almeida, Tubopecas Industria e Comercio S.A.
Prepare Comercial e Servicos Ltda.;Eliana Jane Ligeri de Araujo, Laerte Roberto Ligeri
Paulista Print Comercio e Servicos Graficos Ltda.;Eliana Restoy de Melo Silva, Glaucia de Melo Nogueira Assuncao, Marli Baldini Kikuchi
Smart Staff do Brasil Ltda.;Eliane Aparecida de Sousa Fioravanti
Marcos Pereira e Oliveira Sociedade de Advogados;Eliane Aparecida Leme Oliveira, Marcos Antonio Pereira
1000 X Servicos Administrativos Ltda.;Eliane Gazarra Santos
Transportes Borgo Ltda.;Eliane Massari, Leopoldo Massari
Sefin Servico de Fisioterapia Integrado S/S Ltda.;Eliane Novotny Riboldi, Josiane de Oliveira Mateus, Luiz Fernando de Oliveira Moderno, Silvia da Cruz Serri
Colegio Primo Tapia Ltda.;Eliane Tapia Goncalves, Euclides Goncalves Junior, Gustavo Osorio de Souza Junior, Mercedes Tapia
Rigor Servicos Administrativos Ltda.;Eliane Yukie Kobayashi Kuriyama, Regina Terumi Komesu Nakada
Hidraulica e Eletrica Menezes & Menezes Ltda.;Elias Gomes de Menezes, Roberto Gomes de Menezes
Peeqflex Servicos Ltda.;Elias Jonas Landsberger Glik, Jair Alfredo Landsberger Glik
Nexus Medicina Ocupacional, Auditoria e Gestao em Saude Ltda.;Elias Sadalla Filho, Fernanda Raymundo Terreiro
Globalvida Remocoes Medicas Ltda.;Elias Zibe Bernal
American Treats Industria de Alimentos Ltda.;Elida Silvia Rodrigues de Paiva
Ita Fria Industria e Comercio Ltda.;Eliete Carrara, Norberto Carrara
Efx Transporte e Logistica Ltda.;Elio Menezes Bezerra
Ferreira Empreendimentos Educacionais Ltda.;Elis Fabiana Ferreira Pinto, Marcos Fernando Ferreira, Mario Flavio Ferreira
Agencia Social Tailors Ltda.;Elisa Christina Ribeiro Pequini, Mayer Mirmovicz
Escola de Educacao Infantil Recanto do Popeye Ltda.;Elisa da Silva Cardoso de Oliveira, Regina Pereira da Silva, Tais Amanda da Silva Aires, Vanda Pereira da Silva Rosa, Vania da Silva Aires
Prema Telhados Arquitetura e Projetos Ltda.;Elisa Maria da Camara Nery Paschoal, Wagner Paschoal
Marella S Comercio de Alimentos Ltda.;Elisabete Aparecida Vaz Mariano Varella, Marco Antonio Varella
Cg Servicos Fiscais e de Departamento de Pessoal Ltda.;Elisabete Becker de Oliveira, Newton Augusto Mello de Oliveira
Comercio de Calcados Di Gaspi II Ltda.;Elisabete de Cassia Gaspi, Moacir de Gaspi
Veneza Servicos Empresariais Ltda.;Elisabete Mancera
Oranio Domingues Comercio de Conexoes Ltda.;Elisabete Morales, Nilton Morales Hernandes Junior, Vanessa Cristine Morales
Comercial Rimar Ltda.;Elisabete Morales, Nilton Morales Hernandes Junior, Vanessa Cristine Morales
Crisciuma Companhia Comercial Ltda.;Elisabete Pinho da Silva
Stocktotal Telecomunicacoes Ltda.;Elisabete Roschel Cavalcante Zilli, Irene Bueno de Oliveira Padula
Bleizer Industria de Roupas Ltda.;Elisabeth de Castro Pimenta
P.L.Servicos Gerais Para Edificios Ltda.;Elisangela Almeida de Jesus Barreto
Rst Servicos Terceirizados Ltda.;Elisangela Bueno dos Reis
S.Ferreira Limpeza e Servicos Gerais Ltda.;Elisangela Ferreira de Sousa, Sergio Ricardo Ferreira
Azul Transportes e Turismo Ltda. (São Paulo);Elisangela Paula Costa Zillig Barbosa, Leandro Zillig Barbosa, Marcelo Silva Braga, Mauro Cesar Zillig Barbosa
Guimil & Scala Estacionamento Ltda.;Elisio Scala
Meridional Monitoramento e Servicos Terceirizados Ltda.;Elisoete Francisca Lima
D'.A.N.Hotel Sp Ltda.;Elita Maria Amarante Miguel, Frederico David Miguel, Gustavo Henrique Fregonezi Miguel, Waldir Miguel, Classic - Turismo e Administradora de Bens S/S Ltda.
Deck Paineiras Bar e Restaurante Ltda.;Elizabete de Andrade Avila Akamine
Riema Empreendimentos Imobiliarios Ltda.;Elizabeth Cotait Maluf, Heleno Haddad Maluf
Instituto de Ensino Novo Dinamico Ltda.;Elizabeth Cunha Altruda, Fatima Regina Bolzan da Silva
P & A - Central de Documentacao Ltda.;Elizabeth Maria Werneck da Cunha Bastos, Luiza Werneck da Cunha Bastos
Same - Santa Maria Embalagens Ltda.;Elizabeth Silva Ribeiro
Verx Tecnologia e Inovacao Ltda.;Elizabeth Vasconcelos, Paulo Eduardo Lopes Batalha
Jedmetais Industria e Comercio Ltda.;Elizeu de Andrade
Vsi - Ventiv Solutions International Brasil Consultoria em Informatica Ltda.;Elizeu do Carmo Quintana Junior, Paulo Adriano Ferreira de Araujo
Iracema da Angelica Paes e Doces Ltda.;Ellen Bianca de Franca Santana Resende
Confeitaria e Rotisseria Iracema Ltda.;Ellen Bianca de Franca Santana Resende
Vicma Servicos Ltda.;Ellen dos Reis Queiroga, Mattheus Reis Queiroga
Ellucian Tecnologica do Brasil Ltda.;Ellucian Company L.P., Ellucian Sms Ltd.
Guardia Servicos Especializados Ltda.;Elmo Gabriel Gomes, Marcos de Oliveira Faria
Droga Darcie Ltda.;Eloa Darcie Rodrigues, Katia Darcie Buossi
Sabia Lojas e Lanchonetes Ltda.;Eloisa Costa de Oliveira, Sandra Maria Freitas Franco
Paluama Corretora e Servicos Administrativos de Seguros Ltda.;Eloisa Helena de Souza Peixoto, Marta de Souza Perez, Monica Medeiros de Lima
St - Administracao e Servicos Ltda.;Eloise Raposo da Silva
Sip Corretora de Seguros Ltda.;Elong Administracao e Representacoes Sociedade Unipessoal Ltda., Sercom Comercio e Servicos Ltda.
Mecanica Eloy Ltda.;Eloy Coguetto, Marisa Coguetto
Ennt Comercio Servicos e Participacoes Ltda.;Eloyse Nathalia Nicolau Tuffi
Organizacao King Contabilidade;Elvira Deonila de Carvalho, Marcos Massao Hangui
Paes e Doces Beija Flor do Itaim Ltda.;Elvira Perez Vazquez Rico
Comercial de Ferro e Aco Labatut Ltda. Ltda.;Elvis Boscolo
Sifra Servicos de Credito Ltda.;Elvis Rodrigues Afonso, Fernando Nogueira de Campos, Henrique da Silva Campana, Karen Repetto Marques Paschoalini, Luis Geraldo Schonenberg, Mario Zanco Filho, Paulo Eugenio Schonenberg, Paulo Ricardo Birenbaum, Paulo Roberto Franciozo, Roberto Carlos Pestana Filho, Romoaldo Rodrigues Pereira, Sifra Sell Servicos de Creditos Ltda., Sigstech Solucoes em Tecnologia Ltda., Thiago Nunes Teixeira
Confeccoes Alta Moda Ltda.;Ely Akkari, Marcel Akkari
Unicoba Importacao e Exportacao Ltda.;Elysian Ltd., Marcelo Yamashitafuji Miyashiro
On Time Promocoes e Eventos Ltda.;Elza Angelina Crivelaro
Braslab Produtos Oticos Ltda.;Elza Mitiko Tanaka Matsumura, Marli Massako Tanaka
Carboroil Comercio de Derivados de Petroleo Ltda.;Elza Soragni Fraia, Francisco Fraia Netto, Jaime Eufrasio Sanches, Raquel Cristina Raphael da Rocha Sanches
Residencial Geriatrico Brooklin Ltda.;Elzita Furgang, Jose Benjamin Furgang
Marias Restaurante Ltda. (São Paulo);Embu Participacoes e Empreendimentos Ltda., Itaim Participacoes e Empreendimentos Ltda.
Vieira de Morais Paes e Doces Ltda.;Embu Participacoes e Empreendimentos Ltda., Itaim Participacoes e Empreendimentos Ltda.
Rka Restaurante e Bar Ltda.;Embu Participacoes e Empreendimentos Ltda., Itaim Participacoes e Empreendimentos Ltda.
Restaurante Rancho Portugues - Leitao A Bairrada Ltda.;Embu Participacoes e Empreendimentos Ltda., Itaim Participacoes e Empreendimentos Ltda.
Restaurante O Gato Que Ri Ltda.;Embu Participacoes e Empreendimentos Ltda., Itaim Participacoes e Empreendimentos Ltda.
Lyoma Servicos de Alimentacao Ltda.;Embu Participacoes e Empreendimentos Ltda., Itaim Participacoes e Empreendimentos Ltda.
Dinamite Vila Madalena Choperia Ltda.;Emcos Empreendimentos e Participacoes Ltda., Fabio Cesar Gordon, Fernando Cesar Gordon, Leandro Sallowicz, Lil Participacoes Ltda., Marcelo dos Santos Mutri, Marcelo Pileggi, Paulo Rodrigo Cury, Ricardo de Queiroz Barbara, Ronaldo da Cruz Camelo
Dinamite Itaim Choperia Ltda.;Emcos Empreendimentos e Participacoes Ltda., Fabio Cesar Gordon, Fernando Cesar Gordon, Leandro Sallowicz, Lil Participacoes Ltda., Marcelo dos Santos Mutri, Marcelo Pileggi, Paulo Rodrigo Cury, Ricardo de Queiroz Barbara, Ronaldo da Cruz Camelo
Pharmacia Artesanal Ltda.;Emede Participacoes Ltda., Kontrol Negocios e Participacoes Ltda., Sdm Participacoes Ltda.
Empresa Sao Luiz de Cinemas Ltda. - em Recuperacao Judicial;Emeli Participacoes - em Recuperacao Judicial Ltda., Marcio Eli Leao de Lima
Emergo Brazil Import Importacao e Distribuicao de Produtos Medicos Hospitalares Ltda.;Emergo Brazil Participacoes e Servicos de Consultoria Ltda.
Arpol Conforto Termico Ltda.;Emerson Candido Pereira, Lucas Melati Pereira
Souza Pedro Engenharia e Construcao Ltda.;Emerson de Souza Pedro
Ecomserv Servicos Terceirizados Ltda.;Emerson Kayque do Carmo Maia
Produtos Eletricos Edson Ltda.;Emilio Gustavo de Oliveira Roque, Francisco Eduardo de Oliveira Roque, Jose Roque Junior, Paulo Henrique de Oliveira Roque
Kallas Porto Maravilha Empreendimentos Imobiliarios Ltda.;Emilio Rached Esper Kallas
Bizma Investimentos Ltda.;Empreendimentos Imobiliarios Imofors Ltda.
Datafolha Instituto de Pesquisas Ltda.;Empresa Folha da Manha S.A.
Esde - Empresa Santos Dumont de Energia S.A.;Empresa Paraense de Transmissão de Energia S.A. (99.90%)
Cadis Organizacao de Documentos Ltda.;Emy Henriette Kupty Landim, Francisco Cesar Kupty Landim
Escola de Ensino Fundamental Professor Oshiman Ltda.;Emy Ueda Saito, Mayumi Kawamura Madueno Silva
Escola de Educacao Infantil Professor Oshiman Ltda.;Emy Ueda Saito, Mayumi Kawamura Madueno Silva
Industria Mecano Cientifica S.A.;Eneida Antonia Marchetti Berna
Bertolucci Ltda.;Eneida Cecilia Bertolucci
Energia Consult - Engenharia, Consultoria e Gerenciamento de Projetos Ltda.;Energia Partners - Engenharia Ltda., Grupo Energia - Engenharia, Consultoria, Gerenciamento e Operacao e Manutencao de Usinas Ltda.
Consorcio S.A.Paulo de Fiscalizacao Automatica de Transito;Energy Tecnologia de Automacao S.A., Mobit - Mobilidade, Iluminacao e Tecnologia Ltda., Sigma Engenharia Industria e Comercio Ltda.
Enerray Consultoria Ltda.;Enerray S.P.A., Seci Energia S.P.A.
Consorcio Viario Mogi;Engeform Engenharia Ltda., Serveng Civilsan S.A.Empresas Associadas de Engenharia
Engexpor Brasil Gerenciamento de Projetos e Obras Ltda.;Engexpor - Consultores de Eng.S.A., Miguel Almeida Azevedo Gama Alegria, Rui Miguel Cordeiro Rolo Mendes Pinheiro, Tiago Manuel da Gama de Barros
Engie Solar Brasil Energia e Consultoria Ltda.;Engie Brasil Energias Complementares Participacoes Ltda.
Sanejets Engenharia Civil e Saneamento Ltda.;Enio Sebastiao de Aguiar
Entelgy do Brasil Consultoria em Ti Ltda.;Entel It Consulting S.A., Juan Tomas Ariceta Unsain
Pmovil Ltda.;Entre Investment & Arbitrage Ltd.
Datacard Group do Brasil - Personalizacao e Servicos em Equipamentos e Sistemas Ltda.;Entrust Corporation, Entrust International Llc
Ambipar Logistics Ltda.;Environmental Esg Participações S.A.
Continental Embalagens e Industria de Caixas Ltda.;Eolia Participacoes Ltda., Lalix Participacoes Ltda., Macrilor Participacoes Ltda., Senges Participacoes Ltda.
Trade 360 Promocoes e Eventos Ltda.;Epivania de Oliveira, Marcelo Sirianni
Eppendorf do Brasil Ltda.;Eppendorf Instrumente Gmbh, Eppendorf Se
3N Servicos e Terceirizacao de Mao de Obra Ltda.;Eraldo Manoel do Nascimento
Dala Service Ar Condicionado Ltda.;Erax Administracao e Participacao Ltda., Stulz Brasil Holding Ltda.
Erbe Incorporadora 037 S.A.;Erbe Incorporadora 112 Ltda., Erbe Incorporadora 146 Ltda., Erbe Incorporadora 162 Ltda.
Correias Schneider Ltda.;Eric Afonso Klotz, Pizani Empreendimentos e Participacoes Ltda.
Jones Day - Consultores em Direito Estrangeiro / Direito Norte-Americano e Espanhol;Eric James Snyder, Luis Riesgo Pablo, Marcelo Hallake, Sanjiv Kishore Kapur, Stephen Wade Angus
N2 Turismo Ltda.;Erica de Cassia Goncalves da Silva
Eficiencia Prestacao de Servicos Administrativos Eireli;Erica Gottardi
Terra Forte Exportacao e Importacao de Cafe Ltda.;Erica Regina da Silva, Joao Alexandre da Silva, Joao Faria da Silva, Karina Negreti da Silva
Control Tec Gerenciamento de Obras Ltda.;Erico da Silva Guerra, Luiz Felipe da Silva Guerra
Vertex Engenharia e Comercio Ltda.;Erico Rodrigo de Faria Cassiano, Fabio Ricardo Ferreira de Souza
Empreendimentos Jaragua Ltda.;Erico Sodre Quirino Ferreira, Lupa Vis Servicos de Apoio Administrativo Ltda., Marco Valganon Biancardi, Maria Guadalupe Valganon Biancardi, Rudolf Suppa, Walden Participacoes Ltda.
Condovel Servicos Especiais Eireli;Erico Willrich Berzoti
Ktree Penso Tecnologia da Informacao Ltda.;Erik de Lopes Morais, Jose Henrique Bermejo, Mauricio Montano Silva Meismith, Thiago Madeira de Lima
Mallet e Advogados Associados;Erika Imbiriba Hesketh, Estevao Mallet, Marcos Guilherme Cicarino Fantinato, Olinda Maria Moreira Alves de Oliveira Mallet, Renato Noriyuki Dote, Rodrigo Meni Reis Calovi Fagundes, Tatiana de Oliveira Silva Modenesi
Cred Park Estacionamentos Ltda.;Erlando Gonzaga de Sousa
Ezesa Brasil Participacoes Ltda.;Ermenegildo Zegna Holditalia S.P.A., Ezeti S L, Italco S.A.
Jrm Idiomas Ltda.;Erminia de Pasqual Romano, Steven Beggs
E W A Beneficiamento E Comercio De Embalagens Ltda.;Ernando Martins, Valmir Alves de Araujo
Grupo 1 Comunicacao e Infraestrutura Ltda.;Ernani Nathan Paciornik, Grupo Nautica Comunicacao Ltda.
Distribuidora Loyola de Livros Ltda.;Ernesto Luiz de Almeida, Gerson Oliveira Pimenta, Manoel Brunes Filho, Rogerio Reis Bispo, Vitor Tavares da Silva Filho
Erpflex Software Ltda.;Ernesto Mario Haberkorn, Rafael Gomes da Silva, Rodrigo Pedroso Carlos
Anima Medica Comercio, Importacao e Exportacao de Produtos Medico-Hospitalares Ltda.;Esaote Europe B.V., Esaote S.P.A.
Atelier Cursos Livres Ltda.;Escola Viva Participacoes Ltda.
Representacoes Comerciais Santa Macrina Ltda.;Eseque Holding e Participacoes Ltda.
Lotten-Eyes Oftalmologia Clinica e Cirurgica Ltda.;Esho Empresa de Servicos Hospitalares S.A., Hospital Alvorada Taguatinga Ltda.
Esi South America Comercio e Servicos de Informatica Ltda.;Esi Group
Mombuca Agro Empreendimentos e Participacoes Ltda.;Estancia Eudoxia Empreendimentos e Participacoes Ltda., Spm - Participacoes S.A.
Klar Construtora Ltda.;Estanislau Carvalho de Toledo, Luiz Alberto Altmann Fazio, Mario Sergio da Silva Moutinho
Elca Cosmeticos Ltda.;Estee Lauder Inc., Estee Lauder Intl.Inc.
Vilhena Silva Sociedade de Advogados;Estela do Amaral Alcantara Tolezani, Marcos Paulo Falcone Patullo, Rafael Robba, Renata Vilhena Silva
Iso Construcoes e Incorporacoes S.A.;Estelar Felicita Empreendimento Imobiliario Spe Ltda., Iso Empreendimentos Imobiliarios Ltda., Iso Properties Participacoes Ltda.
Exodo Informacoes Cadastrais Ltda.;Esther Paulette Kuperszmidt Safra
Saratoga Transportes Ltda.;Estrela Comercio e Participacoes S.A.
Unica - Uniao da Agroindustria Canavieira e de Bioenergia do Brasil;Etanol do Futuro
Sun Special Comercio e Representacao Ltda.;Ethiane Dias Nogueira Ribeiro
The Jeffrey Group Brasil Ltda.;Etude Holdings, Llc
Egs Comercio e Manutencao de Moveis Ltda.;Eucimar Goncalves da Silva
Tecla Construcoes Ltda.;Eudecio Teixeira Ramos, Joao Teixeira Ramos
Designer Servicos Ltda.;Eudes Cordeiro da Cruz, Larissa Bassi Carvalho da Silva
Luche Tecnologia em Instalacoes Eletricas Ltda.;Eugenio Arenas Neto
Primar Impermeabilizacao Ltda.;Eugenio de Souza Machado, Fabio de Souza, Jose de Souza, Jose de Souza Machado, Redeney Geraldo Roberto de Souza
Embrafarma Produtos Quimicos e Farmaceuticos Ltda. em Recuperacao Judicial;Eugenio Garrido (50.00%)
Euler Hermes Servicos de Gestao de Riscos Ltda.;Euler Hermes Luxembourg Holding Sarl, Euler Hermes North America Holding Inc
Promofire Promotora de Vendas e Servicos Administrativos Ltda.;Eunice Anselmo Castilho
Metalfire Servicos Especializados em Tornearia Montagens e Instalacoes de Equipamentos Ltda.;Eunice Anselmo Castilho, Marcos Cassiano Tinel
Za-A Instituto de Beleza Ltda.;Eunice Barros Solera, Marina Camara de Brito Alouche, Roberta Solera Clemente, Yolanda Camara de Brito
Hk Solucoes e Servicos Ltda.;Eunice Lamounier Lasmar Grotti, Nathalia Lamounier Grotti
Kaper Sao Paulo Comercio de Papeis Ltda.;Eurico Issao Saruhashi, Helio Hideki Saruhashi
Escola Soleil de Educacao Infantil Ltda.;Eurides Lopes da Silva, Lucia Lopes Nunes
Dp Servicos e Comercio de Produtos Termoplasticos Eireli;Euripedes Roberto Alves
Kinolt Sistemas de Ups Ltda.;Euro-Diesel S.A.
Catg - Centro de Analise e Tipagem de Genomas Ltda.;Eurofins Latin American Ventures S.L.
Euromonitor International Research & Consulting Ltda.;Euromonitor International Limited, Euromonitor Publications Limited
Establishment Labs Brasil Produtos Para Saude Ltda.;European Distribution Center Motiva Bv.
Promedon do Brasil Produtos Medico Hospitalares Ltda.;Eurostar Life Sciences Holdings S.A.
Restaurante Lellis Trattoria Ltda.;Euzebio Sales de Lelis, Fabio Joao Alves Lelis
Jj Service Comercio e Instalacoes Comerciais Ltda.;Eva Angeli do Lago, Mauricio do Nascimento Guimaraes
Actionbr Play Locacao de Mao de Obra Temporaria Ltda.;Evair Pinheiro Junior
E.M.Gesso e Comercio de Materiais Para Construcoes em Geral Ltda.;Evaldo Alves de Macedo
Hg Hessel Desenvolvimento de Recursos Humanos Ltda.;Evando Freitas de Sousa, Lenita Aparecida Hessel Sanches
Memorial - Gestora de Necropoles Ltda.;Evandro Denys Altstut, Ls2 Participacoes Ltda.
Instituto de Ensino Pequeno Urso Ltda.;Evandro Goncalves Kanyuk Filho, Ingrid Santana Kanyuk, Josilaine Santos Santana
Elomaq - Empreiteira e Locadora de Maquinas Ltda.;Evandro Macedo Dias
Martins Editora Livraria Ltda.;Evandro Mendonca Martins Fontes, Janaina Urias Martins Fontes
Carvalho & Carvalho Comercio e Serralheria Ltda.;Evandro Pierre Carvalho, Ricardo Augusto Carvalho
Onix Plastic Industria e Comercio Ltda.;Evanete de Sousa Pessolato
Interact Solucoes de Espaco Ltda.;Evanildo Pedro Taglieri, Mangini South America Participacoes e Investimentos Ltda., Pedro Maria Ibaibarriaga Astorquia
Evenmore Jardins Consultoria de Imoveis Ltda.;Evenmob Consultoria de Imoveis Ltda.
Evenmob Consultoria de Imoveis Ltda.;Evenpar Participacoes Societarias Ltda.
Everest Reinsurance Company - Escritorio de Representacao no Brasil Ltda.;Everest Reinsurance Company, Everest Reinsurance Holdings, Inc
Rodorumo Logistica e Transportes Ltda.;Everson Fernandes, Rodrigo Fernandes
T.H.e.Tecnologia em Hidraulica e Eletrica Ltda.;Everton Alves do Bem
Incare Clinica de Transicao Ltda.;Expand Groupx Assessoria e Consultoria Ltda., Infinite Assessoria e Consultoria Ltda.
In Care Hospital de Reabilitacao e Longa Permanencia Ltda.;Expand Groupx Assessoria e Consultoria Ltda., William Costa Gimenez
Laboratorios Expanscience Comercio Importacao e Exportacao de Produtos Para A Saude Ltda.;Expanscience, Laboratoires Expanscience
Paulista Saude S.A.;Expedita Aparecida Luciano Cardoso Fernandes
Lenergie Servico de Alimentacao Ltda.;Expedita dos Santos
