Empresa;Principais Executivos
Afam Construcoes Ltda.;Abrao Elias Frankel
Iba Comercial e Distribuicao Ltda.;Abril Comunicacoes S.A.
Autuori, Burmann Sociedade de Advogados;Acaccio Jose da Silva, Adriana Aparecida Franco Dias, Alessandra Aparecida dos Santos, Alessandro Pinheiro Rodrigues, Alexandre Vieira Gama, Alicia Maria Linhares de Aquino, Aline Chies Cavalcante, Ana Carolina Alves Marques, Ana Lucia Dias Coelho da Silva, Ana Luiza Lopes Salerno, Ana Maria Floresta Lima, Ana Maria Raimundo Inocente, Ana Paula de Souza Gomes, Ana Paula Fernandes, Ana Paula Moura, Andre Luis dos Santos, Andresa Aparecida Moreira, Angelica Rodolpho Souza, Antonio Carlos Gobete Pereira, Barbara Kiyoe Fujissaki, Barbara Marques de Avila, Blena Kesia Cabral da Costa, Breno Gabriel da Costa Miranda, Bruna Lasevicius Carreira, Bruno Godoi Leme de Faria, Bruno Minoru Okajima, Camila de Cascia Calipo, Carlos Alberto Hernandes Silva Junior, Carlos Eduardo Fernandes de Souza, Carolina Bueno, Carolina Cordeiro Sponton, Caroline Lage, Caroline Tenaglia, Cesar Antonio do Rosario, Cleber Tadeu Portella, Cristiane Ferreira Leite Lopes, Cyntia Prazeres dos Santos Miguel, Daniel Mellone, Daniela Vomero, Danillo Silvano de Andrade, Darlene Jacqueline Otofuji Ramos, Dayane Alves Passos Conceicao, Deilaine Pereira Marques Nascimento, Diego de Oliveira Leao, Djenifer Cleiciane Nucci, Domingles Neris de Jesus, Eduardo Henrique Wanghon Maia, Elizabete Pereira dos Santos, Emanuele Goncalves Fonseca, Erica Iervolino da Ponte Raposo, Erik Mota Coppi, Ester Vince Teixeira, Evelin Franco Pereira, Fabio Cordeiro, Felipe Alves de Oliveira, Felipe Pacheco Diniz, Flavia Alessandra Ribeiro Santos, Flavio Ulisses Mariuba de Oliveira, Gabriel Lima da Silva, Gabriela Barbalho Carion, Gabriela Domingues Szeko, Gabriela Pereira Sousa, Gabriela Rodrigues da Silva, Giovana Mateus dos Reis, Giovanna Lopes Madeira, Guilherme Arantes da Silva, Gustavo Fernandes de Oliveira, Gustavo Palhares Seixas, Hellen Maria de Jesus Fernandes Bonini, Heloise Bizaroli Hauer, Iara dos Santos Souza, Isabel Cristina Ribau Henriques Goncalves, Isabela Barbosa de Mello, Isabela Ramos, Isabelle Rodrigues Iorio, Izabella de Cassia Menedin, Izabella de Souza e Silva, Jacqueline Rodrigues Ferreira Lino, Jaqueline Berto Yocota, Jaridiana Emilia da Silva Santana, Jelton Sousa Lemos, Jose Alexandre dos Santos, Jose Clovis da Silva, Jose Luis da Silva Pinto, Joyce Daniela Alves Vinci, Julia Candido Fonseca, Juliana Bianchi Nogueira Cobra, Juliana Lamas de Almeida, Kamylla de Andrade Teixeira, Kelly Vera e Silva, Lais Marighetti, Larissa Souza Mesquita, Larissa Toesca Rocha, Leticia Molina Manzo, Leticia Pereira Marques, Leticia Rodrigues Rocha, Lilian Missora Matsumoto, Lucas Barreto Gomes Leal, Luciana Biagi Bertolucci, Luciano Bernardes Alberto Silva
Pedrazul Servicos Ltda.;Acacia Holding Ltda., Sueli Terrim Pedro Furlani
Td - Power Informatica Ltda.;Acacio Aparecido Cardoso, Fernando Ellis Piccirilli, Flavio Sobral de Arruda, Guillermo Marcelo Sepulveda Gaueca, Luis Guilherme Braga Schmidt, Paulo Roberto Pinho dos Santos, Ralf Mesanelli Peterlevitz, Roberto Galvao Mariano, Synoro Servicos de Consultoria Ltda.
Foz Sociedade de Advogados.;Acacio Augusto de Andrade Junior, Antonio Jose de Sousa Foz, Cintia Miyuki Kataoka Masutani, Eder de Carvalho, Fabiano Schwartzmann Foz, Jose Mazotti Neto, Julio Bonafonte, Karin Yoko Hatamoto Sasaki, Lucimar Dias dos Santos Silva, Marcela Goncalves Foz, Nilton Dias Pereira, Ricardo Quiros, Wesley Aparecido de Almeida, Wilson Luis de Sousa Foz
Abgi Servicos de Cadeias de Suprimentos Ltda.;Access Business Group International B.V., Amway International Inc.
Upsight Ltda.;Acesso Solucoes de Pagamento S.A.Institucao de Pagamento, Acessopar Investimentos e Participacoes S.A.
Restaurante Terraco Paulistano Ltda.;Achilles Silva Lemos, Antonio de Almeida e Silva, Maria da Conceicao Rodrigues Afonso, Sylvia Cristina da Rocha Pimenta, Valter Ricardo Afonso
Graal Comercio, Empreendimentos e Participacoes Ltda.;Acjcs Participacoes Ltda., Ajdm Participacoes Ltda., Embu Participacoes e Empreendimentos Ltda., Itaim Participacoes e Empreendimentos Ltda., S.F.Participacoes Ltda.
Conel Construtora Ltda.;Acm Participacoes Ltda., Ft Assessoria e Participacoes Ltda., Sgr Participacoes Ltda.
Anthis Metalurgica Ltda.;Acos F Sacchelli Limitada, Acos F Sacchelli Ltda.
Agro Comercial Porto Ltda.;Acp Participacoes Societarias S.A.
Safia Servicos Administrativos Ltda.;Acpe Projetos e Empreendimentos Ltda., Ricardo Carmignani, Gold Rush Participacoes Ltda.
Activision Blizzard Brasil Promocoes Ltda.;Activision Blizzard International B.V., Blizzard Entertainment Ireland Ltd.
Elog Excelencia em Logistica Ltda.;Adaiana das Dores Soares Peichin, Ricardo Rodrigo Rua
Construtora Conref Engenharia de Piscinas Ltda.;Adailton Pedro da Silva, Antonio Carlos Ignacio, Kleber Lozano
Amserve Limpeza e Servicos Ltda.;Adair Rosane Oberek
Senior Protecao Contra Incendio Ltda.;Adalberto Aparecido Bertelli, Jose Carlos Ferreira Liberal, Katia Aparecida Muza Liberal
Cardoso & Associados, Consultoria Contabil;Adalberto Cardoso, Fernanda Cardoso Coutinho, Vanessa Cardoso Balan
Empresa Brasileira de Esquadrias Falido Ltda.;Adalberto Fernandes
Nogueira & Nomura Ltda.;Adalgisa Borges Nogueira Nomura, Kristinelene Braga Dias
Presenca Correspondente de Instituicoes Financeiras Ltda.;Adao Jose da Cruz, Ricardo Leandro Cherez
